1	Cover
2	CH#1 Signals; Signal Energy and Power [Week1–Lec1]
3	Energy/power classification; time shift; time reversal
4	Time scaling; combination of operations
5	Periodicity; even & odd [Week1–Lec2]
6	Even/odd decomposition; DT impulse and step
7	DT sifting; CT impulse and step; CT complex exponentials [Week2–Lec1]
8	Periodicity of CT complex exponentials; general complex exponentials
9	Damped/growing sinusoids; DT complex exponentials
10	DT exponential envelopes; DT periodicity condition
11	Systems; memorylessness; invertibility
12	Invertibility examples; causality; stability [Week2–Lec2]
13	Stability counterexample; time invariance
14	Linearity; CH#2 LTI systems; impulse response [Week3–Lec1]
15	Representation property; convolution sum; first DT convolution example
16	Graphical superposition result; MATLAB homework; DT geometric-series example
17	Geometric series result; CT convolution setup [Week3–Lec2]
18	Convolution integral; CT convolution example 1
19	Summary/plots of example 1; CT convolution example 2 [Week4–Lec1]
20	Example 2 remaining cases; LTI properties (1)–(3)
21	LTI properties (4)–(7) [Week4–Lec2]
22	CH#3 — FOURIER SERIES REPRESENTATION OF PERIODIC SIGNALS / "Eigenfunctions of an LTI System" / "Continuous-Time Case"  [red box: Week5—Lec1]
23	(continuation of Eigenfunctions) / "Discrete-Time Case" / "Summary"  [no week tag]
24	"Why is eigenfunction important?" + Example (time-delay LTI system)  [no week tag]
25	(Example part (b)) / FOURIER SERIES REPRESENTATION / "Existence of Fourier Series" (Dirichlet Conditions)  [no week tag]
26	Example ("PATHOLOGICAL SIGNALS") / FS synthesis equation / Example (x(t)=1+½cos2πt+sin3πt) / Homework (LCM of fractions)  [red box next to the second example: Week5—Lec2]
27	(continuation of the x(t)=1+½cos2πt+sin3πt example) + Homework (x(t)=3+5cos(10π/3 t+π/4)+4sin(5π/4 t−π/5))  [no week tag]
28	CT FOURIER SERIES COEFFICIENTS  [red box: Week6—Lec1]
29	"DC Term" + Example ("PERIODIC RECTANGULAR WAVE")  [no week tag]
30	"How many Fourier Series coefficients are sufficient?" (MSE, Gibbs) + Homework ("SAW TOOTH WAVE")  [no week tag]
31	(sawtooth solution continued) + Example ("PERIODIC IMPULSE TRAIN") + DT FOURIER SERIES COEFFICIENTS  [red box: Week6—Lec2]
32	DT FOURIER SERIES: Theorem + periodicity proof + Example (x[n] = sin(5π/6 n) + cos(3π/4 n + π/5))  [no week tag]
33	Example ("DT periodic square wave")  [no week tag]
34	(DT square wave, FS representation and MSE) + Homework (DT sawtooth, N = 11)  [no week tag]
35	(DT sawtooth reconstruction figure) + PROPERTIES OF FOURIER SERIES COEFFICIENTS: (1) Linearity, (2) Time-Shift  [red box: Week7—Lec1]
36	PROPERTIES: (3) Time-Reversal, (4) Conjugation, (5) Multiplication  [no week tag]
